posted_at,product,post_no,price_usd,price_text,source,title,url
2026-07-21,firebat-f1,93820,,,none,미니PC 특가) 파이어뱃 7430U 미니피시 16G 512GB($211) H255 16G 512GB($306.41),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=93820
2026-07-24,firebat-f1,94062,,,none,미니PC 특가) 파이어뱃 7430U 미니피시 16G 512GB($211) H255 16G 512GB($306.41),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=94062
2026-07-24,firebat-f1,94065,,,none,[미니피시 특가] 파이어뱃 7430U 미니피시 16G 512GB ($211) H255 16G 512GB ($306),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=94065
2026-08-21,firebat-f1,97018,,,none,"[선착순코드] 빅미 B6 전자책리더기 ($101), 파이어뱃 미니PC R3($216)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97018
2026-08-22,firebat-f1,97077,297.93,$297.93,title,"FIREBAT R3 미니 PC ($218.48), FIREBAT F1 미니 PC ($297.93) 무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97077
2026-08-23,firebat-f1,97195,297.93,$297.93,title,"FIREBAT R3 미니 PC ($218.48), FIREBAT F1 미니 PC ($297.93) 무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97195
2026-08-24,firebat-f1,97459,,,none,"[선착순코드] 빅미 B6 전자책리더기 ($101), 파이어뱃 미니PC R3($216)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97459
2026-08-25,firebat-f1,97546,,,none,QCY 역대급) 멜로버즈 N60($18.45) A30($19.9) N65($24.63) SHOKZ T511 오픈핏($51.5) 등,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97546
2026-08-25,firebat-f1,97548,,,none,"[선착] QCY 멜로버즈 N60($18), SHOKZ T511 ($52), 샤오신패드 GT 13($281), 독거미 키보드 F87 Pro($26)외/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97548
2026-08-25,firebat-f1,97567,,,none,"[재입고] 올독큐브 iPlay 80 mini pro($84), 샤오신 GT13($281) 등등",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97567
2026-08-25,firebat-f1,97608,,,none,"[선착순코드] 빅미 B6 전자책리더기 ($101), 파이어뱃 미니PC R3($216)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97608
2026-08-26,firebat-f1,97638,299.00,$299,title,"[특가]GMKtec M6 Ultra 게이밍 미니 PC ($164), FIREBAT F1 미니 PC ($299)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97638
2026-08-26,firebat-f1,97698,299.00,$299,title,"[특가]GMKtec M6 Ultra 게이밍 미니 PC ($164), FIREBAT F1 미니 PC ($299)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97698
2026-08-26,firebat-f1,97700,299.00,$299,title,재입고) GMKtec M6 Ultra 게이밍 미니 PC($164) FIREBAT F1 미니 PC ($299),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=97700
2026-09-14,firebat-f1,99240,260.00,$260,title,"(PC특가) FIREBAT F1 미니 PC($260), GMKtec K12 게이밍 미니 PC ($240)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99240
2026-09-14,firebat-f1,99246,260.00,$260,title,[미니PC특가] FIREBAT F1($260) GMKtec G3S($121) GMKtec M8($205)/무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99246
2026-09-14,firebat-f1,99247,260.00,$260,title,"[미니PC특가] FIREBAT F1($260), GMKtec G3S($121), GMKtec M8($205)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99247
2026-09-14,firebat-f1,99269,260.00,$260,title,"[특가] FIREBAT F1 미니PC ($260), 로보락 F25 물걸레 진공청소기($117)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99269
2026-09-14,firebat-f1,99273,,,none,[선착최저가코드] 로보락 F25 무선 진공 물걸레 청소기($117) 등 /무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99273
2026-09-14,firebat-f1,99284,260.00,$260,title,[미니PC특가] FIREBAT F1($260) GMKtec G3S($121) GMKtec M8($205),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99284
2026-09-14,firebat-f1,99286,254.00,$254,title,[미니PC특가] FIREBAT F1($254) GMKtec G3S($116) GMKtec M8($200),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99286
2026-09-15,firebat-f1,99314,260.00,$260,title,"[미니PC특가] FIREBAT F1($260), GMKtec G3S($121), GMKtec M8($205)/무료",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99314
2026-09-15,firebat-f1,99316,,,none,"(PC특가) FIREBAT R3 MiniPc ($151), GMKtec K12 게이밍 미니 PC ($235)무배",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99316
2026-09-15,firebat-f1,99319,260.00,$260,title,[미니PC특가]GMKtec G3S($121) GMKtec M8($200) FIREBAT F1($260) /무료,https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99319
2026-09-15,firebat-f1,99322,254.00,$254,title,[미니PC특가] GMKtec G3S($116) FIREBAT F1($254) GMKtec M8($200),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99322
2026-09-15,firebat-f1,99347,254.00,$254,title,[미니PC특가] GMKtec G3S($116) FIREBAT F1($254) GMKtec M8($200),https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=99347
2026-09-23,firebat-f1,100142,,,none,"[미니PC 3종 특가] M8 6650H 16GB GMKtec($214), G3S N95($139)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=100142
2026-09-23,firebat-f1,100162,,,none,"[미니PC 3종 특가] M8 6650H 16GB GMKtec($214), G3S N95($139)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=100162
2026-09-24,firebat-f1,100185,,,none,"[미니PC 3종 특가] M8 6650H 16GB GMKtec($214), G3S N95($139)",https://www.ppomppu.co.kr/zboard/view.php?id=ppomppu8&no=100185
